,price,time_since_posting,imgurl,url
690419368,150,16,https://images.craigslist.org/00F0F_4UBFfF9hcqc_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/huntington-beach-couch-and-love-seat/6904193688.html
690419753,60,16,https://images.craigslist.org/00101_32DWjh9HF5K_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/huntington-beach-couch-table/6904197531.html
691600109,0,0,https://images.craigslist.org/00b0b_c9O1Yrki3jB_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/custom-wooden-furniture-couch-bench/6916001093.html
691365927,75,3,https://images.craigslist.org/00S0S_cGRxLjYEL9a_600x450.jpg,https://losangeles.craigslist.org/sgv/fuo/d/azusa-leather-shape-couch/6913659276.html
691235544,200,5,https://images.craigslist.org/01515_c2ViPaBaNGL_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/santa-monica-sofa-company-shaped-couch/6912355445.html
691599095,120,0,https://images.craigslist.org/00b0b_kBlmHmQ8rd3_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/inglewood-ikea-muren-recliner-couch/6915990956.html
691342099,450,3,https://images.craigslist.org/00O0O_a2eomcK4jtq_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-outdoor-patio-couch-with/6913420991.html
690542299,400,14,https://images.craigslist.org/00Y0Y_a7StgiwJvzv_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-northville-traditional/6905422994.html
690542319,400,14,https://images.craigslist.org/00Y0Y_a7StgiwJvzv_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-northville-traditional/6905423199.html
690897640,400,9,https://images.craigslist.org/00Y0Y_a7StgiwJvzv_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-northville-traditional/6908976408.html
691133575,400,6,https://images.craigslist.org/00Y0Y_a7StgiwJvzv_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-northville-traditional/6911335755.html
691133602,400,6,https://images.craigslist.org/00Y0Y_a7StgiwJvzv_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-northville-traditional/6911336025.html
691598530,720,0,https://images.craigslist.org/00M0M_bE52yzl7Kev_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-ikea-black-landskrona/6915985301.html
691598539,400,0,https://images.craigslist.org/00D0D_hDbFSDZ13NT_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/la-crescenta-white-ivory-leather-couch/6915985395.html
689722772,425,25,https://images.craigslist.org/00G0G_fwLjjifUn3E_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/canoga-park-outdoor-patio-couch-with/6897227725.html
